,Img,Pred,Act,fileName,loss
55,1155474384___2020-10-01T09-48-34.273471Z___camera-07.png,0,1,1155474384___2020-10-01T09-48-34.273471Z___camera-07.png,0.1528729800018623
56,1155474384___2020-10-01T09-48-34.273471Z___camera-08.png,0,1,1155474384___2020-10-01T09-48-34.273471Z___camera-08.png,0.1924112956492267
57,1155474384___2020-10-01T09-48-34.273471Z___camera-10.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-10.png,0.1967541172837739
58,1155474384___2020-10-01T09-48-34.273471Z___camera-11.png,0,1,1155474384___2020-10-01T09-48-34.273471Z___camera-11.png,0.18259761952841247
59,1155474384___2020-10-01T09-48-34.273471Z___camera-12.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-12.png,0.271688727554322
60,1155474384___2020-10-01T09-48-34.273471Z___camera-13.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-13.png,0.21618052926650833
61,1155474384___2020-10-01T09-48-34.273471Z___camera-14.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-14.png,0.2381057642955694
62,1155474384___2020-10-01T09-48-34.273471Z___camera-15.png,1,1,1155474384___2020-10-01T09-48-34.273471Z___camera-15.png,0.22706157860666626
63,1158346973___2020-10-01T09-59-31.495359Z___camera-00.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-00.png,0.2131622401502318
64,1158346973___2020-10-01T09-59-31.495359Z___camera-01.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-01.png,0.236460998928106
65,1158346973___2020-10-01T09-59-31.495359Z___camera-02.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-02.png,0.2302042081010492
66,1158346973___2020-10-01T09-59-31.495359Z___camera-03.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-03.png,0.23303678357179566
67,1158346973___2020-10-01T09-59-31.495359Z___camera-06.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-06.png,0.21835839318840794
68,1158346973___2020-10-01T09-59-31.495359Z___camera-08.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-08.png,0.2001578302579099
69,1158346973___2020-10-01T09-59-31.495359Z___camera-09.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-09.png,0.22563903996548468
70,1158346973___2020-10-01T09-59-31.495359Z___camera-12.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-12.png,0.23530809855068532
71,1158346973___2020-10-01T09-59-31.495359Z___camera-13.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-13.png,0.20484118248485364
72,1158346973___2020-10-01T09-59-31.495359Z___camera-14.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-14.png,0.21396245291912724
73,1158346973___2020-10-01T09-59-31.495359Z___camera-15.png,1,1,1158346973___2020-10-01T09-59-31.495359Z___camera-15.png,0.21131296953982392
74,1173952027___2020-10-01T11-16-29.663592Z___camera-00.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-00.png,0.1894765420192893
75,1173952027___2020-10-01T11-16-29.663592Z___camera-01.png,1,1,1173952027___2020-10-01T11-16-29.663592Z___camera-01.png,0.21094478285049945
76,1173952027___2020-10-01T11-16-29.663592Z___camera-03.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-03.png,0.1855015475741848
77,1173952027___2020-10-01T11-16-29.663592Z___camera-04.png,1,1,1173952027___2020-10-01T11-16-29.663592Z___camera-04.png,0.2057804330072735
78,1173952027___2020-10-01T11-16-29.663592Z___camera-06.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-06.png,0.16449177643601443
79,1173952027___2020-10-01T11-16-29.663592Z___camera-07.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-07.png,0.15917856670811262
80,1173952027___2020-10-01T11-16-29.663592Z___camera-10.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-10.png,0.18553894800446796
81,1173952027___2020-10-01T11-16-29.663592Z___camera-11.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-11.png,0.1723747971959615
82,1173952027___2020-10-01T11-16-29.663592Z___camera-13.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-13.png,0.16128848953031372
83,1173952027___2020-10-01T11-16-29.663592Z___camera-14.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-14.png,0.18088772543065576
84,1173952027___2020-10-01T11-16-29.663592Z___camera-15.png,0,1,1173952027___2020-10-01T11-16-29.663592Z___camera-15.png,0.1454478373620946
85,1220180158___2020-10-01T11-02-37.276423Z___camera-03.png,1,1,1220180158___2020-10-01T11-02-37.276423Z___camera-03.png,0.2664094768191153
86,1220180158___2020-10-01T11-02-37.276423Z___camera-05.png,1,1,1220180158___2020-10-01T11-02-37.276423Z___camera-05.png,0.24344665032754975
87,1220180158___2020-10-01T11-02-37.276423Z___camera-07.png,1,1,1220180158___2020-10-01T11-02-37.276423Z___camera-07.png,0.2450946396247617
88,1220180158___2020-10-01T11-02-37.276423Z___camera-09.png,1,1,1220180158___2020-10-01T11-02-37.276423Z___camera-09.png,0.24188998140498474
89,1220180158___2020-10-01T11-02-37.276423Z___camera-10.png,1,1,1220180158___2020-10-01T11-02-37.276423Z___camera-10.png,0.24221767811713635
90,1220180158___2020-10-01T11-02-37.276423Z___camera-11.png,1,1,1220180158___2020-10-01T11-02-37.276423Z___camera-11.png,0.21271825563316135
91,1220180158___2020-10-01T11-02-37.276423Z___camera-13.png,1,1,1220180158___2020-10-01T11-02-37.276423Z___camera-13.png,0.22161240893503487
92,12419128___2020-10-01T10-37-40.111973Z___camera-00.png,1,1,12419128___2020-10-01T10-37-40.111973Z___camera-00.png,0.19760169707488814
93,12419128___2020-10-01T10-37-40.111973Z___camera-01.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-01.png,0.18032489900676146
94,12419128___2020-10-01T10-37-40.111973Z___camera-02.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-02.png,0.19151795832864607
